date	company	role	req	location	url	status	next_action	last_contact	referral
2025-10-22	Ralliant	Hardware Design Engineer (Tek)	NA	Beaverton, OR	https://ralliant.eightfold.ai/careers?utm_source=position_notification_logged_out_candidate&domain=ralliant.com&profile_type=candidate&start=0&location=United+States&pid=1133909638674&sort_by=match&filter_include_remote=1	applied		2025-10-22	
2025-10-22	NVIDIA	Senior Hardware Validation Engineer	JR1996018	Santa Clara, CA		Reject		2025-10-22	
2025-10-22	Micron	Senior SSD Validation Engineer	JR79466	Longmont, CO	https://micron.wd1.myworkdayjobs.com/en-US/External/job/Senior-SSD-Validation-Engineer_JR79466	applied		2025-10-22	
2025-10-22	Micron	System Validation Engineer	JR82019	Boise, ID - Main Site	https://micron.wd1.myworkdayjobs.com/en-US/External/job/System-Validation-Engineer_JR82019	applied		2025-10-22	
2025-10-22	Micron	Semiconductor Product Engineer	JR81878	Boise, ID - Main Site	https://micron.wd1.myworkdayjobs.com/en-US/External/job/Semiconductor-Product-Engineer_JR81878	applied		2025-10-22	
2025-10-22	Micron	SSD Customer Validation Engineer	JR79271	Longmont, Colorado	https://micron.eightfold.ai/careers?start=0&location=United+States&pid=29716471&sort_by=match&filter_include_remote=1	applied		2025-10-22	
2025-10-22	Micron	Software Engineer, SECS/GEM	JR80816	Boise, Idaho	https://micron.eightfold.ai/careers/apply?pid=30764716	applied		2025-10-22	
2025-10-22	Micron	Product Development Engineer	JR82130	Boise, Idaho	https://micron.eightfold.ai/careers?start=0&location=United+States&pid=37799409&sort_by=match&filter_include_remote=1	applied		2025-10-22	
2025-10-22	Micron	Software Development Engineer	JR81973	Boise,ID	https://micron.eightfold.ai/careers?start=0&location=United+States&pid=31029158&sort_by=match&filter_include_remote=1	applied		2025-10-22	
2025-10-22	Synopsys	Test & Validation Engineer	10364	Austin,TX	https://synopsys.avature.net/careers/JobDetail/Test-Validation-Engineer-10364/10364?businessTitle=Test+%26+Validation+Engineer%2C+Staff	applied		2025-10-22	
